,sentence,Sentimiento
0,I love this product and I would buy it again,0.6369
1,The service was fast and efficient,0.4215
2,Today is just a normal day,0.0
3,I did not like the customer service,-0.2755
4,The movie was okay but a bit long,0.1154
5,I am very satisfied with the final result,0.4754
6,The weather is cloudy this afternoon,0.0
7,It was a terrible experience,-0.4767
8,The system works as expected,0.0
9,The food was delicious,0.5719
10,I would not buy from here again,0.0
11,The package arrived on time,0.0
12,I am very disappointed with the quality,-0.5256
13,The book is interesting,0.4019
14,Everything went wrong from the beginning,-0.4767
15,The meeting was short and clear,0.3818
16,I feel happy with my decision,0.5719
17,The product does not work properly,0.0
18,Today I went to the supermarket,0.0
19,The application is easy to use,0.4404
20,Technical support was not helpful at all,0.0946
21,It was an ordinary day,0.0
22,The design looks nice,0.4215
23,The order arrived incomplete,0.0
24,The class started at eight,0.0
25,I am very happy with the service,0.6115
26,The experience was boring,-0.3182
27,The system is up to date,0.0
28,I do not recommend this place,-0.2755
29,The report was delivered yesterday,0.0
30,I was pleasantly surprised by the result,0.6124
31,The noise was annoying,-0.4019
32,The event started on time,0.0
33,I am satisfied with the purchase,0.4215
34,The process was slow,0.0
35,Today I worked from home,0.0
36,I really liked the presentation,0.4754
37,The error appeared again,-0.4019
38,The file was saved correctly,0.4215
39,It did not meet my expectations,0.0
40,The store was crowded,0.0
41,It was an excellent choice,0.5719
42,The product is average,0.0
43,The waiting time was too long,0.0
44,I received the email this morning,0.0
45,I am grateful for the help,0.6908
46,The system crashed again,0.0
47,The manual explains the basics,0.0
48,Everything went according to plan,0.0
49,The experience was frustrating,-0.4404
50,Today nothing important happened,-0.1511
51,The result was acceptable,0.3182
52,I loved the attention,0.5994
53,The service left much to be desired,0.2732
54,The file was downloaded without issues,0.0
55,It was a difficult decision,-0.3612
56,This is absolutely amazing and exceeded all my expectations,0.624
57,I am extremely happy and satisfied with this experience,0.7939
58,"Everything was perfect, I could not be happier",0.2321
59,This is the best service I have ever received,0.6369
60,I am truly impressed by the outstanding quality,0.875
61,This is the worst experience I have ever had,-0.6249
62,I am extremely unhappy and totally disappointed,-0.7569
63,Everything was a complete disaster,-0.6249
64,This product is terrible and completely useless,-0.7346
65,I regret this decision and would never recommend it,-0.6007
